# cross-gate unreddenability sweep — the measurement behind every
# SOURCE_SIDE_FALSIFIERS row (see `FalsifierKind`).
#
# Every registered patch × every source-side leaf. The leaves run in one
# batch and any leaf the batch left without a terminal `go test -json`
# event is re-run ALONE, so a patch that kills the binary cannot be
# recorded as reddening its neighbours. `no-go-hunks` means the patch
# touches nothing under runtime-go/ and so cannot change what a Go
# fixture does; `patch-absent` means the mutation is registered but its
# patch has not been authored yet.
#
# Re-take with:
#   cargo test -p xtask --bin xtask -- --ignored --exact \
#     bluedb_gates::gates_g2_13::tests::record_cross_gate_unreddenable_sweep
#
# <mutation-id> <leaf> <verdict>
G1.4/admit-on-get TestWrongComparerNameRefusesOpen patch-absent
G1.5/invert-lock-order TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G1.5/invert-lock-order TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G1.5/invert-lock-order TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G1.5/invert-lock-order TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G1.5/invert-lock-order TestCrashDurablePrefixNoReorder patch-absent
G1.5/invert-lock-order TestInjectedFaultsReopenConsistent patch-absent
G1.5/invert-lock-order TestSealContractRefusesWrites patch-absent
G1.5/invert-lock-order TestSecondOpenFailsSingleProcessLock patch-absent
G1.5/invert-lock-order TestWrongComparerNameRefusesOpen patch-absent
G1.6/persist-every-frame TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G1.6/persist-every-frame TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G1.6/persist-every-frame TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G1.6/persist-every-frame TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G1.6/persist-every-frame TestCrashDurablePrefixNoReorder patch-absent
G1.6/persist-every-frame TestInjectedFaultsReopenConsistent patch-absent
G1.6/persist-every-frame TestSealContractRefusesWrites patch-absent
G1.6/persist-every-frame TestSecondOpenFailsSingleProcessLock patch-absent
G1.6/persist-every-frame TestWrongComparerNameRefusesOpen patch-absent
G1.7/ship-to-origin-conn-only TestAuditH3ReaderGetSurfacesIoErrors patch-absent
