BenchmarkDiffOnly/list_append/nodes=677-8 	    2673	    183309 ns/op	       677.0 nodes	  420739 B/op	    2685 allocs/op
BenchmarkDiffOnly/list_append/nodes=677-8 	    2708	    183385 ns/op	       677.0 nodes	  420739 B/op	    2685 allocs/op
BenchmarkDiffOnly/list_append/nodes=677-8 	    2589	    186127 ns/op	       677.0 nodes	  420742 B/op	    2685 allocs/op
BenchmarkDiffOnly/list_append/nodes=677-8 	    2559	    198957 ns/op	       677.0 nodes	  420743 B/op	    2685 allocs/op
BenchmarkDiffOnly/list_append/nodes=677-8 	    2462	    191472 ns/op	       677.0 nodes	  420745 B/op	    2685 allocs/op
BenchmarkDiffOnly/list_append/nodes=677-8 	    2575	    184759 ns/op	       677.0 nodes	  420741 B/op	    2685 allocs/op
BenchmarkDiffOnly/list_append/nodes=677-8 	    2640	    183560 ns/op	       677.0 nodes	  420742 B/op	    2685 allocs/op
BenchmarkDiffOnly/list_append/nodes=677-8 	    2534	    196292 ns/op	       677.0 nodes	  420737 B/op	    2685 allocs/op
BenchmarkAssignSkyIDs/nodes=19-8          	  800622	       611.1 ns/op	        19.00 nodes	     208 B/op	      11 allocs/op
BenchmarkAssignSkyIDs/nodes=19-8          	  775188	       609.4 ns/op	        19.00 nodes	     208 B/op	      11 allocs/op
BenchmarkAssignSkyIDs/nodes=19-8          	  805131	       607.5 ns/op	        19.00 nodes	     208 B/op	      11 allocs/op
BenchmarkAssignSkyIDs/nodes=19-8          	  792019	       618.7 ns/op	        19.00 nodes	     208 B/op	      11 allocs/op
BenchmarkAssignSkyIDs/nodes=19-8          	  796861	       609.4 ns/op	        19.00 nodes	     208 B/op	      11 allocs/op
BenchmarkAssignSkyIDs/nodes=19-8          	  802166	       614.3 ns/op	        19.00 nodes	     208 B/op	      11 allocs/op
BenchmarkAssignSkyIDs/nodes=19-8          	  802440	       608.3 ns/op	        19.00 nodes	     208 B/op	      11 allocs/op
BenchmarkAssignSkyIDs/nodes=19-8          	  801296	       610.0 ns/op	        19.00 nodes	     208 B/op	      11 allocs/op
BenchmarkAssignSkyIDs/nodes=159-8         	   92665	      5114 ns/op	       159.0 nodes	    1968 B/op	      91 allocs/op
BenchmarkAssignSkyIDs/nodes=159-8         	   92241	      5194 ns/op	       159.0 nodes	    1968 B/op	      91 allocs/op
BenchmarkAssignSkyIDs/nodes=159-8         	   93117	      5201 ns/op	       159.0 nodes	    1968 B/op	      91 allocs/op
BenchmarkAssignSkyIDs/nodes=159-8         	   92780	      5110 ns/op	       159.0 nodes	    1968 B/op	      91 allocs/op
BenchmarkAssignSkyIDs/nodes=159-8         	   92808	      5130 ns/op	       159.0 nodes	    1968 B/op	      91 allocs/op
BenchmarkAssignSkyIDs/nodes=159-8         	   93801	      5171 ns/op	       159.0 nodes	    1968 B/op	      91 allocs/op
BenchmarkAssignSkyIDs/nodes=159-8         	   94382	      5146 ns/op	       159.0 nodes	    1968 B/op	      91 allocs/op
BenchmarkAssignSkyIDs/nodes=159-8         	   92006	      5130 ns/op	       159.0 nodes	    1968 B/op	      91 allocs/op
BenchmarkAssignSkyIDs/nodes=670-8         	   21673	     21787 ns/op	       670.0 nodes	    8392 B/op	     383 allocs/op
BenchmarkAssignSkyIDs/nodes=670-8         	   22255	     21879 ns/op	       670.0 nodes	    8392 B/op	     383 allocs/op
BenchmarkAssignSkyIDs/nodes=670-8         	   22279	     21648 ns/op	       670.0 nodes	    8392 B/op	     383 allocs/op
BenchmarkAssignSkyIDs/nodes=670-8         	   22224	     21759 ns/op	       670.0 nodes	    8392 B/op	     383 allocs/op
BenchmarkAssignSkyIDs/nodes=670-8         	   22132	     21620 ns/op	       670.0 nodes	    8392 B/op	     383 allocs/op
BenchmarkAssignSkyIDs/nodes=670-8         	   22198	     21597 ns/op	       670.0 nodes	    8392 B/op	     383 allocs/op
BenchmarkAssignSkyIDs/nodes=670-8         	   22308	     22117 ns/op	       670.0 nodes	    8392 B/op	     383 allocs/op
BenchmarkAssignSkyIDs/nodes=670-8         	   22214	     21641 ns/op	       670.0 nodes	    8392 B/op	     383 allocs/op
BenchmarkAssignSkyIDs/nodes=1762-8        	    8487	     57407 ns/op	      1762 nodes	   23320 B/op	    1007 allocs/op
BenchmarkAssignSkyIDs/nodes=1762-8        	    8622	     57336 ns/op	      1762 nodes	   23320 B/op	    1007 allocs/op
BenchmarkAssignSkyIDs/nodes=1762-8        	    8614	     57800 ns/op	      1762 nodes	   23320 B/op	    1007 allocs/op
BenchmarkAssignSkyIDs/nodes=1762-8        	    8586	     59463 ns/op	      1762 nodes	   23320 B/op	    1007 allocs/op
BenchmarkAssignSkyIDs/nodes=1762-8        	    8667	     57422 ns/op	      1762 nodes	   23320 B/op	    1007 allocs/op
BenchmarkAssignSkyIDs/nodes=1762-8        	    8509	     58470 ns/op	      1762 nodes	   23320 B/op	    1007 allocs/op
BenchmarkAssignSkyIDs/nodes=1762-8        	    8440	     57926 ns/op	      1762 nodes	   23320 B/op	    1007 allocs/op
BenchmarkAssignSkyIDs/nodes=1762-8        	    8589	     57532 ns/op	      1762 nodes	   23320 B/op	    1007 allocs/op
