BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     510	    959726 ns/op	      7012 nodes	         0 patches/op	  111819 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     525	    983815 ns/op	      7012 nodes	         0 patches/op	  111822 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     478	   1317507 ns/op	      7012 nodes	         0 patches/op	  111821 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     394	   1138547 ns/op	      7012 nodes	         0 patches/op	  111819 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     432	   2122289 ns/op	      7012 nodes	         0 patches/op	  111820 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     201	   2552586 ns/op	      7012 nodes	         0 patches/op	  111820 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     441	   1237756 ns/op	      7012 nodes	         0 patches/op	  111822 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     478	   1282884 ns/op	      7012 nodes	         0 patches/op	  111822 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     313	   1784256 ns/op	      7012 nodes	         0 patches/op	  111817 B/op	    5014 allocs/op
BenchmarkInteraction/noop/items=1000/nodes=7012-8    	     484	   1296762 ns/op	      7012 nodes	         0 patches/op	  111819 B/op	    5014 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  165450	      3330 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  152060	      3440 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  146778	      4728 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  152497	      2854 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  170586	      3200 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  170217	      2972 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  170516	      4279 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  165729	      2972 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  167966	      3216 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  164860	      4270 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  164211	      3621 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  169368	      3342 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  139670	      2910 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  155178	      2901 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=1/nodes=19-8     	  169389	      2840 ns/op	        19.00 nodes	         1.000 patches/op	     800 B/op	      22 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   22893	     20947 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   22546	     21003 ns/op	       159.0 nodes	         1.000 patches/op	    2881 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   22948	     20973 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   22761	     22231 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   23002	     20459 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   23377	     20570 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   23486	     20636 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   23350	     20453 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   23354	     20481 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   22932	     21350 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   22353	     21071 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
